product_name,promotion_tag,price,product_description,tag,image_url,label
﻿샌)크래프트더블치즈샌드,,2700,"프리미엄 KH 크림치즈의 부드러운 풍미와 더블치즈(크림치즈소스, 슬라이스치즈)의 조합! 
햄과 슬라이즈 치즈의 조화로운 단짠고소한 샌드위치","샌드위치, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8801068931983.jpg,New
﻿김)양념치킨까스김밥,,3500,두툼하고 달콤한 양념치킨까스와 아삭한 양배추 샐러드가 조화로운 김밥,"김밥, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8800271902353.jpg,New
﻿햄)더블UP치즈버거,,4200,가장 베이직한 맛의 치즈버거를 그대로 구현한 더블업치즈버거! 숙성 체다를 사용한 더블업치즈를 2장 토핑한 호주청정우 버거,"햄버거, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8809692957614.jpg,New
﻿김)명작매콤고추참치유부,,3600,매콤한 청양고추 토핑과 칠리소스에 버무려진 참치 토핑이 가득찬 전문점 크기의 유부초밥,"김밥, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8800279675303.jpg,New
﻿도)가쓰오우동스페셜정식,,5500,"국물이 끝내주는 우동의 대표 가쓰오우동과 잘 어울리는 유부초밥, 튀김 등이 들어있는 도시락","도시락, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8800279675266.jpg,New
﻿주)3XL맵싹소고기고추장,,1500,기존 소고기 고추장보다 맵고 맛이 진한 매콤달콤 3XL사이즈 소고기고추장 삼각,"삼각김밥, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8800271902391.jpg,New
﻿샌)랜치치킨단호박샌드,,3900,랜치소스로 버무린 건강한 닭가슴살이 가득! 단호박샐러드를 조합하여 더욱 맛있게 즐기는 샌드위치,"샌드위치, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8809895795587.jpg,New
﻿샌)치폴레치킨단호박샌드,,3900,매콤한 치폴레 소스로 버무린 건강한 닭가슴살이 가득!! 단호박샐러드를 조합하여 더욱 맛있게 즐기는 샌드위치,"샌드위치, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8809895795549.jpg,New
﻿햄)그릴드닭다리살데리,,4500,"스파이시한 닭다리살 패티와 단짠 데리야끼소스가 토핑되어 더욱 맛잇게! 
그릴드되어 더욱 촉촉하고 부드러운 닭다리살패티가 통으로 들어간 햄버거","햄버거, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8809692957485.jpg,New
﻿햄)그릴드닭다리살매콤,,4500,"스파이시한 닭다리살 패티와 매콤소스가 토핑되어 더욱 맛잇게! 
그릴드되어 더욱 촉촉하고 부드러운 닭다리살패티가 통으로 들어간 햄버거","햄버거, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8809692957454.jpg,New
﻿샐)얌운센샐러드,,5300,"탱글탱글한 익힌 쌀국수면과 새우, 아삭한 양배추채와 믹스채소에 매콤한 핫볶음소스와 피클초 드레싱으로 맛을 더한 얌운센 샐러드.
새콤달콤한 드레싱과 순후추 향이 어우러진 매콤·상큼·시원한 샐러드로 입맛을 돋우는 이색 메뉴.","샐러드, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8809679628131.jpg,New
﻿샐)분짜쌀국수샐러드,,5400,"쌀국수면과 신선한 양배추, 당근, 적채에 새콤달콤한 분짜 드레싱을 곁들인 시원&든든하게 즐길 수 있는 분짜 샐러드.","샐러드, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8809679624416.jpg,New
﻿김)매콤참치마요김밥,,3300,스리라차소스 풍미의 참치마요 토핑이 가득한 매콤참치 김밥,"김밥, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8801771302667.jpg,New
﻿주)3XL콘참치마요삼각,,1500,고소 짭짤한 참치마요에 톡톡 터지는 식감의 스위트콘이 들어간 3XL 사이즈 삼각김밥,"삼각김밥, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8801771033493.jpg,New
﻿면)대패삼겹청양파스타,,5400,대패삼겹볶음에 구운마늘과 매콤한 청양고추를 토핑한 기막힌 조합의 오일파스타,"도시락, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8801771033455.jpg,New
﻿주)3XL리챔청양마요삼각,,1700,짭짤한 리챔+고소한 마요네즈+매콤한 청양고추가 들어간 누구나 좋아할 삼각김밥 조합,"삼각김밥, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8800271902315.jpg,New
﻿햄)더블불고기치즈버거,,3000,고소한 참깨번에 불고기패티 2장을 넣어 든든함! 체다치즈와 피클까지 넣어 풍미까지 완성한 버거,"햄버거, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8801068932003.jpg,New
﻿김)달콤유부우엉김밥,,3300,달콤한 유부와 아삭한 식삼이 살아 있는 우엉이 가득한 줄김밥,"김밥, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8800271902278.jpg,New
﻿김)오일컷담백참치마요,,3400,기름기 쫙~뺀 참치를 사용하여 더욱 담백한 참치마요 김밥(유사상품 대비 지방 함량 50% DOWN!),"김밥, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8801771302629.jpg,New
﻿주)오일컷담백참치삼각,,1200,기존 기름참치가 아닌 물담금 참치를 활용한 보다 담백한 참치마요삼각김밥,"삼각김밥, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8800279672579.jpg,New
﻿샐)치킨브레스트햄,,4900,단백질 함량 14g! 담백한 치킨브레스트와 신선한 채소가 어우러진 샐러드. 오리엔탈 드레싱 동봉.,"샐러드, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8809954751035.jpg,New
﻿햄)토마토스파이시치킨,,4000,"바삭두툼한 스파이시 통다리살 패티와 양상추, 상큼한 토마토가 만나 조합이 일품인 토마토 스파이시 치킨 버거","햄버거, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8809692957423.jpg,New
﻿샐)훈제오리고구마샐러드,,5400,"구운 훈제 오리 슬라이스와 고구마 샐러드, 방울토마토가 어우러진 풍성한 샐러드. 유자머스타드 드레싱으로 상큼하게 즐기는 건강한 한 끼!","샐러드, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8809679629046.jpg,New
﻿샐)요거트구운단호박,,4800,"달콤한 단호박과 고구마, 병아리콩, 스위트콘이 어우러진 영양 가득 샐러드. 허니레몬요거트 드레싱으로 상큼하게 즐기는 건강한 한끼!","샐러드, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8809679625604.jpg,New
﻿샌)넘버원햄에그크루아상,,4900,"전문점 그 이상의 가치! 바삭한 크루와상 빵에 퐁실한 에그와 짭짤한 햄에 가득! 
딜요거트소스가 가득히 발라져 그 조합이 일품인 크루아상 샌드위치","샌드위치, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8801771302582.jpg,New
﻿샌)넘버원치킨크루아상,,4900,"전문점 그 이상의 가치! 바삭한 크루와상 빵에 크랜베리와 닭가슴살을 랜치 소스에 버무린 토핑이 가득! 
아삭한 시금치와 홀그레인 머스타드로 더욱 품격있게 즐기는 크루아상 샌드위치","샌드위치, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8800271902230.jpg,New
﻿도)추억의보리콩오징어,,4900,폭싹속았수다에 나오는 완두콩밥과 오징어를 듬뿍 넣은 간장불백이 들어간 도시락,"도시락, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8801771033417.png,New
﻿샌)시저치킨클래식샌드,,2900,"① 부드러운 생효모식빵에 시저치킨샐러드를 듬뿍 넣어 든든한 한끼 샌드위치
② 식감이 살아있는 그릴드치킨과 해쉬브라운과 양파의 조합으로 식감까지 살아있는 샌드위치
③ 머스타드마요소스로 마무리해 감칠맛 나게 완성한 클래식 샌드위치","샌드위치, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8801068932027.jpg,New
﻿김)돈까스샐러드김밥,,3400,통으로 들어간 돈까스 스틱과 아삭한 양배추 샐러드가 조화로운 줄김밥,"김밥, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8800279675068.jpg,New
﻿주)추억의보리콩오징어,,1300,완두콩이 들어간 밥에 간장오징어 불고기가 들어간 삼각김밥,"삼각김밥, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8800271902193.jpg,New
﻿샐)크리미맛살샐러드,,4900,단백질 함량 15g! 크리미한 맛살과 신선한 채소가 어우러져 고소하고 영양가가 풍부한 샐러드. 참깨드레싱 동봉,"샐러드, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8809954751028.jpg,New
﻿샐)블랙페퍼닭가슴살,,4900,단백질함량 17g! 블랙페퍼 닭가슴살과 각종 야채를 곁들여 먹는 샐러드. 오리엔탈 드레싱 동봉,"샐러드, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8809954751011.jpg,New
﻿주)참치마요닭갈비뉴제주,,2300,"인기 1순위의 인기 1순위의 참치마요와 매콤한 닭갈비가 들어간 매콤닭갈비를 한번에 즐길 수 있는 더블 삼각김밥!을
한번에 즐길 수 있는 더블 삼각김밥!","삼각김밥, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8800279675020.jpg,New
﻿김)뉴명륜진사갈비김밥,,3500,명륜진사갈비 대표메뉴를 그대로 재현한 돼지갈비가 듬뿍 들어간 명륜진사갈비김밥,"김밥, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8800279674962.jpg,New
﻿주)뉴명란청양마요삼각,,1400,명란과 함께 청양고추를 썰어 마요네즈를 넣은 일반 삼각김밥,"삼각김밥, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8800279674924.jpg,New
﻿주)뉴3XL명륜진사갈비,,1900,더 커져서 돌아왔다! 달콤한 명륜진사갈비를 한손에 즐길 수 있는 삼각김밥,"삼각김밥, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8800279674887.jpg,New
﻿주)뉴3XL간장바싹불고기,,1800,삼각김밥 안에 불향나는 불고기 토핑이 꽉~ 차있어 가치감 UP!,"삼각김밥, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8800279674849.jpg,New
﻿주)뉴압도적스팸마요삼각,,1900,남녀노소 누구나 좋아하는 스팸마요를 기존 중량 보다 25% 듬뿍 넣은 압도적 스팸마요 삼각김밥,"삼각김밥, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8800279674801.jpg,New
﻿주)뉴숯불향치킨삼각,,1300,참깨밥에 숯불향 양념치킨 소스에 치킨토핑을 버무린 토핑을 넣은 일반 삼각김밥,"삼각김밥, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8800279674764.jpg,New
﻿주)뉴압도적마늘제육깻잎,,1900,알싸한 마늘향이 베인 제육을 듬뿍 넣은 압도적 삼각김밥! 기존 삼각김밥 대비 30%나 더 넣은 압도적 토핑 중량! 깻잎 반장이 들어있어 제육 한 쌈을 먹는 삼각김밥,"삼각김밥, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8800279674726.jpg,New
﻿주)뉴카레치킨밥바,,2700,짭짤담백 치킨 패티에 감칠맛이 느껴지는카레밥을 더해 더욱 맛있는 바삭토핑 밥바,"주먹밥, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8800279674689.jpg,New
﻿주)뉴전주비빔소불고기,,1500,맛있는거 + 정말 맛있는거 조합의 전주비빔소불고기 삼각김밥,"삼각김밥, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8800279674641.jpg,New
﻿김)뉴배불롱김치제육,,4200,매콤한 김치제육이 들어간 일반 줄김밥 1.5배 길이의 배불롱김밥!,"줄김밥, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8800279674603.jpg,New
﻿샌)더뉴대만식연유,,3000,"특제 연유크림의 달달함이 더욱 증가되어 돌아온 더 뉴 대만식연유샌드, 부드러운 식빵 사이에 달달한 연유크림과, 계란지단, 햄, 치즈가 가득!","샌드위치, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8800271902117.jpg,New
﻿김)넘버원에그바새우1,,4100,"· 전문점 그 이상의 격이다른 ‘넘버원’ 간편식 시리즈
· 밥 없는 김밥! 밥 대신 계란지단으로 속을 꽉 채운 고단백 김밥! 새우튀김이 통으로 들어간 김밥
· 기존 김밥과 다르게 절단 되어 있지 않고 간편하게 한손에 쥐고 먹는 타입","줄김밥, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8800279674504.jpg,New
﻿햄)넘버원에그쏙인더버거1,,4900,"① 이제껏 전문점에서만 볼 수 있었던 넘버원 에그 쏙! 인더 버거!
② 단짠한 햄버거 패티 사이에 고소한 계란이 쏙 들어가 더욱 촉촉하게 즐기는 햄버거","햄버거, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8800279674429.jpg,New
﻿주)넘버원에그랜치크랩1,,2200,계란을 가득넣어 만든 밥에 담백고소한 크랩맛살 토핑이 들어간 삼각김밥,"삼각김밥, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8800279674344.jpg,New
﻿면)넘버원토마토파스타,,5500,"토마토 함량 43.9%! 깊고 진한 풍미의 토마토 베이스의 마리나라 소스에, 짭조름한 베이컨, 풍미가득 치즈가 듬뿍 토핑 된  넘버원 토마토 파스타","도시락, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8800271902032.jpg,New
﻿도)넘버원간장돼지찜1,,5900,"특제 간장양념으로 끓여낸 고기에 당근, 버섯을 넣은 돼지찜 도시락","정식도시락, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8800271901950.jpg,New
﻿핫)에그치즈바삭튀김도그1,,3900,"① 튀기면 다 맛있다! 바삭 튀김 버거에 이은 바삭튀김 핫도그 출시!
② 바삭튀긴 핫도그 번으로 바삭함 UP! 톡톡터지는 통통한 소세지로 풍성함 UP!
③ 에그체다 소스가 듬뿍 들어가 바삭튀김 핫도그 번과의 조합이 일품인 핫도그","핫도그, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8809655891641.jpg,New
﻿햄)넘버원리얼비프버거,,4800,"호주 축산협회가 인정한 호주 청정우가 98% 들어간 순소고기 패티 버거!
아삭한 양상추와 양파, 스모키 케요네즈 소스와 아메리칸 더블업 치즈가 가득! 들어간 넘버원 버거!","햄버거, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8801771302544.png,New
﻿도)넘버원크림파스타1,,5900,"유크림 함량 99.98%! 진한 풍미의 알프레도 크림소스에 잠봉햄을 토핑한 파스타
가공햄이 아닌 잠봉햄을 토핑하여 크리미한 크림과의 조화가 일품!","조리면, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8801771033363.jpg,New
﻿김)넘버원에그바소시지1,,3900,"· 전문점 그 이상의 격이다른 ‘넘버원’ 간편식 시리즈
· 밥 없는 김밥! 밥 대신 계란지단으로 속을 꽉 채운 고단백 김밥, 소시지가 통으로 들어간 김밥
· 기존 김밥과 다르게 절단 되어 있지 않고 간편하게 한손에 쥐고 먹는 형태","줄김밥, 간편식사",https://tqklhszfkvzk6518638.edge.naverncp.com/product/8800279674542.jpg,New
